Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
439,0,0,0,28,8.253
440,0,0,0,30,8.016
441,0,0,0,15,9.304
442,0,0,1,25,8.371
443,0,0,0,20,8.94
444,0,0,1,27,8.379
445,0,0,1,27,8.021
446,0,0,0,24,8.729
447,0,0,0,29,8.204
448,0,0,0,26,8.384
449,0,0,1,24,8.59
450,0,0,1,16,9.125
451,0,0,0,23,8.878
452,0,0,0,25,8.504
453,0,0,2,23,8.495
454,0,0,0,23,8.458
455,0,0,0,21,8.905
456,0,0,0,27,8.408
457,0,0,1,21,8.957
458,0,0,1,24,8.532
459,0,0,1,23,8.737
460,0,1,0,22,8.259
461,0,0,0,22,8.979
462,0,0,0,21,8.845
463,0,0,1,23,8.646
464,0,0,0,24,8.6
465,0,0,2,27,8.546
466,0,0,0,25,8.618
467,0,0,1,31,8.029
468,0,0,1,22,8.69
469,0,0,0,18,9.198
470,0,0,0,21,8.947
471,0,0,0,24,8.584
472,0,0,3,30,8.002
473,0,0,1,28,8.419
474,0,0,0,21,8.897
475,0,1,1,32,7.863
476,0,0,0,25,8.496
477,0,0,0,16,9.307
478,0,0,1,26,8.418
479,0,0,2,23,8.538
480,0,0,2,27,8.335
481,0,0,2,31,8.134
482,0,0,1,19,8.984
483,0,0,0,22,8.8
484,0,1,0,23,8.342
485,0,1,2,20,8.619
486,0,1,0,29,8.207
487,0,0,0,24,8.67
488,0,1,1,19,8.404
489,0,0,3,26,8.435
490,0,0,1,22,8.608
491,0,0,0,31,8.144
492,0,0,1,32,8.147
493,0,0,1,23,8.693
494,0,0,1,21,9.044
495,0,0,0,25,8.441
496,0,0,0,23,8.66
497,0,0,0,25,8.668
498,0,0,0,22,8.775
499,0,0,2,23,8.604
500,0,0,0,18,8.951
501,0,0,0,22,8.544
502,0,0,1,22,8.822
503,0,0,1,22,8.712
504,0,0,0,26,8.699
505,0,0,1,22,8.706
506,0,0,1,25,8.421
507,0,0,1,18,9.081
508,0,0,0,19,9.016
509,0,0,0,23,8.631
510,0,0,1,24,8.591
511,0,0,0,24,8.582
512,0,0,0,18,8.98
513,0,0,1,23,8.639
514,0,0,1,23,8.765
515,0,0,1,21,8.802
516,0,1,0,25,8.08
517,0,0,3,19,8.71
518,0,0,1,28,8.171
519,0,0,1,25,8.293
520,0,0,0,23,8.801
521,0,0,0,25,8.488
