Cas,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
329,0,0,1,0,7.212
330,0,1,0,0,7.026
331,0,0,0,0,7.15
332,0,0,2,0,7.169
333,0,1,0,0,7.044
334,0,0,0,0,7.171
335,0,0,1,0,7.072
336,0,0,1,0,7.165
337,0,0,0,0,7.108
338,0,0,1,0,7.138
339,0,1,0,0,6.971
340,0,0,0,0,7.078
341,0,0,1,0,7.122
342,0,1,2,0,7.036
343,0,1,1,0,7.047
344,0,0,1,0,7.183
345,0,3,1,0,6.523
346,0,1,0,0,6.896
347,0,0,1,0,7.134
348,0,0,0,0,7.143
349,0,0,0,0,7.166
350,0,0,0,0,7.154
351,0,0,0,0,7.16
352,0,0,1,0,7.127
353,0,0,0,0,7.169
354,0,1,0,0,7.042
355,0,1,0,0,6.843
356,0,0,0,0,7.136
357,0,0,0,0,7.214
358,0,0,0,0,7.178
359,0,0,1,0,7.198
360,0,0,0,0,7.242
361,0,0,0,0,7.205
362,0,0,0,0,7.148
363,0,0,0,0,7.259
364,0,0,0,0,7.165
365,0,0,1,0,7.223
366,0,1,0,0,7.021
367,0,0,0,0,7.184
368,0,0,2,0,7.12
369,0,0,1,0,7.073
370,0,0,1,0,7.115
371,0,0,0,0,7.185
372,0,1,0,0,6.913
373,0,0,2,0,7.151
374,0,0,0,0,7.169
375,0,0,0,0,7.18
376,0,0,1,0,7.174
377,0,0,0,0,7.173
378,0,0,0,0,7.123
379,0,0,1,0,7.128
380,0,0,1,0,7.114
381,0,0,1,0,7.058
382,0,0,1,0,7.132
383,0,0,0,0,7.249
384,0,0,0,0,7.082
385,0,0,0,0,7.118
386,0,0,1,0,7.198
387,0,0,2,0,6.996
388,0,0,0,0,7.165
389,0,1,1,0,6.802
390,0,0,0,0,7.194
391,0,0,1,0,7.111
392,0,1,1,0,6.77
393,0,0,1,0,6.988
394,0,0,0,0,7.16
395,0,0,1,0,7.135
396,0,0,0,0,7.188
397,0,0,0,0,7.187
398,0,0,0,0,7.16
399,0,0,0,0,7.173
400,0,0,0,0,7.192
401,0,0,0,0,7.173
402,0,0,1,0,7.237
403,0,1,0,0,6.956
404,0,0,0,0,7.201
405,0,0,1,0,7.024
406,0,0,1,0,7.192
407,0,0,0,0,7.166
408,0,0,1,0,7.158
409,0,0,1,0,7.192
410,0,0,0,0,7.207
411,0,0,1,0,7.13
412,0,0,0,0,7.164
413,0,0,0,0,7.184
414,0,0,0,0,7.21
415,0,0,0,0,7.192
416,0,0,0,0,7.139
417,0,0,1,0,7.086
418,0,1,0,0,7.006
419,0,0,0,0,7.139
420,0,0,0,0,7.242
421,0,0,1,0,7.15
422,0,0,0,0,7.1
423,0,0,1,0,7.162
424,0,0,1,0,7.141
425,0,0,0,0,7.122
426,0,0,0,0,7.113
427,0,0,1,0,7.15
428,0,0,0,0,7.095
429,0,0,2,0,7.126
430,0,0,0,0,7.196
431,0,0,0,0,7.186
432,0,0,1,0,7.174
433,0,0,1,0,7.152
434,0,0,1,0,7.156
435,0,0,0,0,7.223
436,0,0,1,0,7.18
437,0,0,1,0,7.187
438,0,0,3,0,7.097
439,0,0,0,0,7.248
440,0,0,1,0,7.067
441,0,0,0,0,7.146
442,0,2,1,0,6.696
443,0,1,1,0,7.013
444,0,0,0,0,7.092
445,0,0,2,0,7.082
446,0,0,1,0,7.1
447,0,0,0,0,7.131
448,0,0,0,0,7.21
449,0,0,0,0,7.149
450,0,0,0,0,7.143
451,0,1,1,0,6.767
452,0,0,0,0,7.218
453,0,0,0,0,7.218
454,0,0,0,0,7.216
455,1,0,1,0,0
456,0,0,0,0,7.226
457,0,0,1,0,7.133
458,0,0,0,0,7.202
459,0,0,0,0,7.248
460,0,0,1,0,7.204
461,0,0,1,0,7.077
462,0,0,0,0,7.072
463,0,0,0,0,7.073
464,0,0,0,0,7.197
465,0,0,0,0,7.172
466,0,0,1,0,7.189
467,0,0,1,0,7.122
468,0,0,3,0,7.108
469,0,0,1,0,7.16
470,0,0,1,0,7.132
471,0,0,2,0,7.179
472,0,0,0,0,7.131
473,0,0,0,0,7.171
474,0,0,0,0,7.167
475,0,0,0,0,7.149
476,0,0,0,0,7.207
477,0,0,1,0,7.07
478,0,0,1,0,7.151
479,0,0,1,0,7.172
480,0,1,0,0,6.827
481,0,1,1,0,7.053
482,0,0,0,0,7.147
483,0,0,0,0,7.13
484,0,0,0,0,7.179
485,0,0,1,0,7.089
486,0,0,2,0,7.115
487,0,1,1,0,6.871
488,0,0,0,0,7.186
489,0,0,0,0,7.267
490,0,0,1,0,7.088
491,0,0,1,0,7.079
492,0,0,0,0,7.128
493,0,0,1,0,7.074
494,0,0,0,0,7.133
495,0,0,0,0,7.179
496,0,0,0,0,7.204
497,0,0,0,0,7.175
498,0,1,0,0,6.965
499,0,0,1,0,7.192
500,0,0,0,0,7.196
501,0,0,1,0,7.148
502,0,0,1,0,7.152
503,0,0,0,0,7.125
504,0,1,0,0,7.047
505,0,0,0,0,7.169
506,0,0,0,0,7.178
507,0,0,2,0,7.083
508,0,0,0,0,7.135
509,0,0,1,0,7.131
510,0,0,0,0,7.17
511,0,0,0,0,7.143
512,0,0,0,0,7.201
513,0,0,0,0,7.135
514,0,2,1,0,6.546
515,0,0,0,0,7.204
516,0,0,0,0,7.222
517,0,0,1,0,7.123
518,0,0,0,0,7.215
519,0,0,1,0,7.208
520,0,0,0,0,7.175
521,0,0,1,0,7.165
