Cas,Poruch cepele,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
328,0,0,2,60,5.396
329,0,0,2,60,5.393
330,0,0,0,60,5.364
331,0,1,0,60,5.42
332,0,0,1,60,5.396
333,0,0,2,60,5.415
334,0,0,1,60,5.408
335,0,0,0,60,5.409
336,0,0,0,60,5.402
337,0,1,0,60,5.415
338,0,0,0,60,5.402
339,0,0,0,60,5.437
340,0,2,1,58,5.222
341,0,0,1,60,5.438
342,0,0,0,60,5.388
343,0,0,1,60,5.372
344,0,0,1,60,5.39
345,0,1,0,58,5.172
346,0,0,0,60,5.446
347,0,0,0,60,5.427
348,0,0,0,60,5.399
349,0,0,0,60,5.429
350,0,0,0,60,5.378
351,0,0,0,60,5.429
352,0,0,0,60,5.385
353,0,0,2,60,5.425
354,0,1,0,58,5.246
355,0,1,0,59,5.278
356,0,0,0,60,5.383
357,0,0,1,60,5.42
358,0,0,0,60,5.392
359,0,0,0,60,5.394
360,0,1,0,59,5.328
361,0,0,0,60,5.408
362,0,0,0,60,5.371
363,0,0,0,60,5.384
364,0,0,0,60,5.416
365,1,0,0,0,0
366,1,0,0,36,3.234
367,0,0,0,28,2.506
368,0,1,0,60,5.366
369,0,0,1,60,5.378
370,0,0,2,60,5.388
371,0,0,2,60,5.406
372,0,0,0,60,5.396
373,0,1,0,60,5.415
374,0,0,0,60,5.416
375,0,0,1,60,5.438
376,0,0,0,60,5.399
377,0,0,1,60,5.413
378,0,0,1,60,5.387
379,0,0,1,60,5.413
380,0,0,0,60,5.423
381,0,1,0,58,5.186
382,0,0,0,60,5.413
383,0,0,2,60,5.406
384,0,0,0,60,5.405
385,0,0,2,60,5.411
386,0,0,1,59,5.296
387,0,0,0,60,5.414
388,0,0,1,60,5.413
389,0,0,1,60,5.405
390,0,0,1,60,5.407
391,0,1,1,59,5.315
392,0,0,0,60,5.441
393,0,1,1,58,5.228
394,0,1,0,59,5.332
395,0,0,0,60,5.384
396,0,0,0,60,5.392
397,0,0,0,60,5.442
398,0,0,1,60,5.397
399,0,0,1,60,5.37
400,0,0,0,60,5.388
401,0,0,0,60,5.384
402,0,0,0,60,5.39
403,0,0,1,60,5.417
404,0,1,1,60,5.41
405,0,0,0,60,5.379
406,0,1,1,60,5.426
407,0,0,0,60,5.398
408,0,0,0,60,5.384
409,0,0,0,60,5.424
410,0,0,0,60,5.396
411,0,2,1,57,5.127
412,0,0,1,60,5.33
413,0,0,2,60,5.357
414,0,0,0,60,5.413
415,0,0,0,60,5.391
416,0,1,1,60,5.417
417,0,0,0,61,5.533
418,0,0,0,60,5.406
419,0,2,1,58,5.22
420,0,0,0,61,5.479
421,0,0,0,60,5.409
422,0,0,2,60,5.409
423,0,0,1,60,5.414
424,0,1,0,59,5.287
425,0,1,1,58,5.24
426,0,0,0,60,5.401
427,0,0,0,60,5.434
428,0,0,0,60,5.425
429,0,1,0,58,5.241
430,0,0,0,61,5.47
431,0,0,1,59,5.305
432,0,1,0,58,5.216
433,0,1,0,58,5.205
434,0,0,0,60,5.377
435,0,0,1,60,5.396
436,0,0,0,60,5.428
437,0,0,0,60,5.403
438,0,0,2,60,5.406
439,0,0,0,60,5.429
440,0,0,0,60,5.385
441,1,1,0,38,3.401
442,0,0,1,24,2.165
443,0,0,1,60,5.439
444,0,1,0,58,5.223
445,0,0,0,60,5.369
446,0,0,0,60,5.385
447,0,0,0,60,5.433
448,0,0,0,60,5.406
449,0,0,0,60,5.397
450,0,0,0,60,5.352
451,0,0,1,60,5.398
452,0,0,1,60,5.405
453,0,0,0,60,5.411
454,0,0,0,60,5.377
455,0,0,0,60,5.381
456,0,0,1,60,5.43
457,0,0,0,60,5.408
458,0,0,1,61,5.446
459,0,0,1,60,5.449
460,0,0,1,60,5.424
461,0,0,1,60,5.419
462,0,0,2,60,5.398
463,0,0,0,60,5.398
464,0,0,0,60,5.37
465,0,0,0,60,5.392
466,0,0,0,60,5.377
467,0,0,0,60,5.388
468,0,0,0,60,5.393
469,0,0,0,60,5.432
470,0,0,1,60,5.45
471,1,0,0,10,0.909
472,0,0,4,60,5.416
473,0,0,0,60,5.414
474,0,0,0,60,5.397
475,0,0,1,60,5.433
476,0,1,0,60,5.391
